1,Loomings
2,
3,
4,Call me Ishmael. Some years ago- never mind how long precisely-
5,"having little or no money in my purse, and nothing particular to"
6,"interest me on shore, I thought I would sail about a little and see"
7,the watery part of the world. It is a way I have of driving off the
8,spleen and regulating the circulation. Whenever I find myself growing
9,"grim about the mouth; whenever it is a damp, drizzly November in my"
10,soul; whenever I find myself involuntarily pausing before coffin
11,"warehouses, and bringing up the rear of every funeral I meet; and"
12,"especially whenever my hypos get such an upper hand of me, that it"
13,requires a strong moral principle to prevent me from deliberately
14,"stepping into the street, and methodically knocking people's hats"
15,"off- then, I account it high time to get to sea as soon as I"
16,can. This is my substitute for pistol and ball. With a philosophical
17,flourish Cato throws himself upon his sword; I quietly take to the
18,"ship. There is nothing surprising in this. If they but knew it,"
19,"almost all men in their degree, some time or other, cherish very"
20,nearly the same feelings towards the ocean with me.
21,
22,"There now is your insular city of the Manhattoes, belted round by"
23,wharves as Indian isles by coral reefs- commerce surrounds it with
24,"her surf. Right and left, the streets take you waterward. Its extreme"
25,"downtown is the battery, where that noble mole is washed by waves,"
26,"and cooled by breezes, which a few hours previous were out of sight"
27,of land.  Look at the crowds of water-gazers there.
28,
29,Circumambulate the city of a dreamy Sabbath afternoon. Go from
30,"Corlears Hook to Coenties Slip, and from thence, by Whitehall,"
31,northward. What do you see?- Posted like silent sentinels all around
32,"the town, stand thousands upon thousands of mortal men fixed in ocean"
33,reveries. Some leaning against the spiles; some seated upon the
34,pier-heads; some looking over the bulwarks of ships from China; some
35,"high aloft in the rigging, as if striving to get a still better"
36,seaward peep. But these are all landsmen; of week days pent up in
37,"lath and plaster- tied to counters, nailed to benches, clinched to"
38,desks. How then is this? Are the green fields gone? What do they
39,here?
40,
41,"But look! here come more crowds, pacing straight for the water, and"
42,seemingly bound for a dive. Strange! Nothing will content them but
43,the extremest limit of the land; loitering under the shady lee of
44,yonder warehouses will not suffice. No. They must get just as nigh
45,the water as they possibly can without falling And there they stand-
46,"miles of them- leagues. Inlanders all, they come from lanes and"
47,"alleys, streets avenues- north, east, south, and west. Yet here they"
48,"all unite. Tell me, does the magnetic virtue of the needles of the"
49,compasses of all those ships attract them thither?
50,
51,Once more. Say you are in the country; in some high land of
52,"lakes. Take almost any path you please, and ten to one it carries you"
53,"down in a dale, and leaves you there by a pool in the stream. There"
54,is magic in it. Let the most absent-minded of men be plunged in his
55,"deepest reveries- stand that man on his legs, set his feet a-going,"
56,"and he will infallibly lead you to water, if water there be in all"
57,"that region. Should you ever be athirst in the great American desert,"
58,"try this experiment, if your caravan happen to be supplied with a"
59,"metaphysical professor. Yes, as every one knows, meditation and water"
60,are wedded for ever.
61,
62,"But here is an artist. He desires to paint you the dreamiest,"
63,"shadiest, quietest, most enchanting bit of romantic landscape in all"
64,the valley of the Saco. What is the chief element he employs? There
65,"stand his trees, each with a hollow trunk, as if a hermit and a"
66,"crucifix were within; and here sleeps his meadow, and there sleep his"
67,cattle; and up from yonder cottage goes a sleepy smoke. Deep into
68,"distant woodlands winds a mazy way, reaching to overlapping spurs of"
69,mountains bathed in their hill-side blue. But though the picture lies
70,"thus tranced, and though this pine-tree shakes down its sighs like"
71,"leaves upon this shepherd's head, yet all were vain, unless the"
72,shepherd's eye were fixed upon the magic stream before him. Go visit
73,"the Prairies in June, when for scores on scores of miles you wade"
74,knee-deep among Tiger-lilies- what is the one charm wanting?- Water-
75,there is not a drop of water there! Were Niagara but a cataract of
76,"sand, would you travel your thousand miles to see it? Why did the"
77,"poor poet of Tennessee, upon suddenly receiving two handfuls of"
78,"silver, deliberate whether to buy him a coat, which he sadly needed,"
79,or invest his money in a pedestrian trip to Rockaway Beach? Why is
80,"almost every robust healthy boy with a robust healthy soul in him, at"
81,some time or other crazy to go to sea? Why upon your first voyage as
82,"a passenger, did you yourself feel such a mystical vibration, when"
83,first told that you and your ship were now out of sight of land? Why
84,did the old Persians hold the sea holy? Why did the Greeks give it a
85,"separate deity, and own brother of Jove? Surely all this is not"
86,without meaning. And still deeper the meaning of that story of
87,"Narcissus, who because he could not grasp the tormenting, mild image"
88,"he saw in the fountain, plunged into it and was drowned. But that"
89,"same image, we ourselves see in all rivers and oceans.  It is the"
90,image of the ungraspable phantom of life; and this is the key to it
91,all.
92,
93,"Now, when I say that I am in the habit of going to sea whenever I"
94,"begin to grow hazy about the eyes, and begin to be over conscious of"
95,"my lungs, I do not mean to have it inferred that I ever go to sea as"
96,"a passenger. For to go as a passenger you must needs have a purse,"
97,"and a purse is but a rag unless you have something in it. Besides,"
98,passengers get sea-sick- grow quarrelsome- don't sleep of nights- do
99,"not enjoy themselves much, as a general thing;- no, I never go as a"
100,"passenger; nor, though I am something of a salt, do I ever go to sea"
101,"as a Commodore, or a Captain, or a Cook. I abandon the glory and"
102,"distinction of such offices to those who like them. For my part, I"
103,"abominate all honorable respectable toils, trials, and tribulations"
104,of every kind whatsoever. It is quite as much as I can do to take
105,"care of myself, without taking care of ships, barques, brigs,"
106,"schooners, and what not. And as for going as cook,- though I confess"
107,"there is considerable glory in that, a cook being a sort of officer"
108,"on ship-board- yet, somehow, I never fancied broiling fowls;- though"
109,"once broiled, judiciously buttered, and judgmatically salted and"
110,"peppered, there is no one who will speak more respectfully, not to"
111,"say reverentially, of a broiled fowl than I will. It is out of the"
112,idolatrous dotings of the old Egyptians upon broiled ibis and roasted
113,"river horse, that you see the mummies of those creatures in their"
114,huge bakehouses the pyramids.
115,
116,"No, when I go to sea, I go as a simple sailor, right before the mast,"
117,"plumb down into the fore-castle, aloft there to the royal"
118,"mast-head. True, they rather order me about some, and make me jump"
119,"from spar to spar, like a grasshopper in a May meadow. And at first,"
120,this sort of thing is unpleasant enough. It touches one's sense of
121,"honor, particularly if you come of an old established family in the"
122,"land, the Van Rensselaers, or Randolphs, or Hardicanutes. And more"
123,"than all, if just previous to putting your hand into the tar-pot, you"
124,"have been lording it as a country schoolmaster, making the tallest"
125,"boys stand in awe of you. The transition is a keen one, I assure you,"
126,"from a schoolmaster to a sailor, and requires a strong decoction of"
127,Seneca and the Stoics to enable you to grin and bear it. But even
128,this wears off in time.
129,
130,"What of it, if some old hunks of a sea-captain orders me to get a"
131,"broom and sweep down the decks? What does that indignity amount to,"
132,"weighed, I mean, in the scales of the New Testament? Do you think the"
133,"archangel Gabriel thinks anything the less of me, because I promptly"
134,and respectfully obey that old hunks in that particular instance? Who
135,"ain't a slave? Tell me that. Well, then, however the old sea-captains"
136,"may order me about- however they may thump and punch me about, I have"
137,the satisfaction of knowing that it is all right; that everybody else
138,is one way or other served in much the same way- either in a physical
139,"or metaphysical point of view, that is; and so the universal thump is"
140,"passed round, and all hands should rub each other's shoulder-blades,"
141,and be content.
142,
143,"Again, I always go to sea as a sailor, because they make a point of"
144,"paying me for my trouble, whereas they never pay passengers a single"
145,"penny that I ever heard of. On the contrary, passengers themselves"
146,must pay. And there is all the difference in the world between paying
147,and being paid. The act of paying is perhaps the most uncomfortable
148,infliction that the two orchard thieves entailed upon us. But being
149,"paid,- what will compare with it? The urbane activity with which a"
150,"man receives money is really marvellous, considering that we so"
151,"earnestly believe money to be the root of all earthly ills, and that"
152,on no account can a monied man enter heaven. Ah! how cheerfully we
153,consign ourselves to perdition!
154,
155,"Finally, I always go to sea as a sailor, because of the wholesome"
156,"exercise and pure air of the fore-castle deck. For as in this world,"
157,"head winds are far more prevalent than winds from astern (that is, if"
158,"you never violate the Pythagorean maxim), so for the most part the"
159,Commodore on the quarter-deck gets his atmosphere at second hand from
160,the sailors on the forecastle. He thinks he breathes it first; but
161,not so. In much the same way do the commonalty lead their leaders in
162,"many other things, at the same time that the leaders little suspect"
163,it. But wherefore it was that after having repeatedly smelt the sea
164,"as a merchant sailor, I should now take it into my head to go on a"
165,"whaling voyage; this the invisible police officer of the Fates, who"
166,"has the constant surveillance of me, and secretly dogs me, and"
167,influences me in some unaccountable way- he can better answer than
168,"any one else. And, doubtless, my going on this whaling voyage, formed"
169,part of the grand programme of Providence that was drawn up a long
170,time ago. It came in as a sort of brief interlude and solo between
171,more extensive performances. I take it that this part of the bill
172,must have run something like this:
173,
174,"                      ""Grand Contested Election"
175,"              for the Presidency of the United States."""
176,
177,"                  ""Whaling voyage by one Ishmael."""
178,
179,"                  ""Bloody battle in Affghanistan."""
180,
181,"Though I cannot tell why it was exactly that those stage managers, the Fates, put me"
182,"down for this shabby part of a whaling voyage, when others were set down for magnificent"
183,"parts in high tragedies, and short and easy parts in genteel comedies, and jolly parts in"
184,"farces- though I cannot tell why this was exactly; yet, now that I recall all the"
185,"circumstances, I think I can see a little into the springs and motives which being"
186,"cunningly presented to me under various disguises, induced me to set about performing the"
187,"part I did, besides cajoling me into the delusion that it was a choice resulting from my"
188,own unbiased freewill and discriminating judgment.
189,
190,Chief among these motives was the overwhelming idea of the great
191,whale himself. Such a portentous and mysterious monster roused all my
192,curiosity. Then the wild and distant seas where he rolled his island
193,"bulk; the undeliverable, nameless perils of the whale; these, with"
194,"all the attending marvels of a thousand Patagonian sights and sounds,"
195,"helped to sway me to my wish. With other men, perhaps, such things"
196,"would not have been inducements; but as for me, I am tormented with"
197,"an everlasting itch for things remote. I love to sail forbidden seas,"
198,"and land on barbarous coasts. Not ignoring what is good, I am quick"
199,"to perceive a horror, and could still be social with it- would they"
200,let me- since it is but well to be on friendly terms with all the
201,inmates of the place one lodges in.
202,
203,"By reason of these things, then, the whaling voyage was welcome; the"
204,"great flood-gates of the wonder-world swung open, and in the wild"
205,"conceits that swayed me to my purpose, two and two there floated into"
206,"my inmost soul, endless processions of the whale, and, mid most of"
207,"them all, one grand hooded phantom, like a snow hill in the air."
208,
209,
210,
211,
212,The Carpet-Bag
213,
214,
215,"I stuffed a shirt or two into my old carpet-bag, tucked it under my"
216,"arm, and started for Cape Horn and the Pacific. Quitting the good"
217,"city of old Manhatto, I duly arrived in New Bedford. It was a"
218,Saturday night in December. Much was I disappointed upon learning
219,"that the little packet for Nantucket had already sailed, and that no"
220,"way of reaching that place would offer, till the following Monday."
221,
222,As most young candidates for the pains and penalties of whaling stop
223,"at this same New Bedford, thence to embark on their voyage, it may as"
224,"well be related that I, for one, had no idea of so doing. For my mind"
225,"was made up to sail in no other than a Nantucket craft, because there"
226,"was a fine, boisterous something about everything connected with that"
227,"famous old island, which amazingly pleased me. Besides though New"
228,Bedford has of late been gradually monopolizing the business of
229,"whaling, and though in this matter poor old Nantucket is now much"
230,"behind her, yet Nantucket was her great original- the Tyre of this"
231,Carthage;- the place where the first dead American whale was
232,stranded. Where else but from Nantucket did those aboriginal
233,"whalemen, the Red-Men, first sally out in canoes to give chase to the"
234,"Leviathan? And where but from Nantucket, too, did that first"
235,"adventurous little sloop put forth, partly laden with imported"
236,"cobblestones- so goes the story- to throw at the whales, in order to"
237,discover when they were nigh enough to risk a harpoon from the
238,bowsprit?
239,
240,"Now having a night, a day, and still another night following before"
241,"me in New Bedford, ere could embark for my destined port, it became a"
242,matter of concernment where I was to eat and sleep meanwhile. It was
243,"a very dubious-looking, nay, a very dark and dismal night, bitingly"
244,cold and cheerless. I knew no one in the place. With anxious grapnels
245,"I had sounded my pocket, and only brought up a few pieces of silver,-"
246,"So, wherever you go, Ishmael, said I to myself, as I stood in the"
247,"middle of a dreary street shouldering my bag, and comparing the"
248,towards the north with the darkness towards the south- wherever in
249,"your wisdom you may conclude to lodge for the night, my dear Ishmael,"
250,"be sure to inquire the price, and don't be too particular."
251,
252,"With halting steps I paced the streets, and passed the sign of ""The"
253,"Crossed Harpoons""- but it looked too expensive and jolly"
254,"there. Further on, from the bright red windows of the ""Sword-Fish"
255,"Inn,"" there came such fervent rays, that it seemed to have melted the"
256,"packed snow and ice from before the house, for everywhere else the"
257,"congealed frost lay ten inches thick in a hard, asphaltic pavement,-"
258,"rather weary for me, when I struck my foot against the flinty"
259,"projections, because from hard, remorseless service the soles of my"
260,"boots were in a most miserable plight. Too expensive and jolly, again"
261,"thought I, pausing one moment to watch the broad glare in the street,"
262,"and hear the sounds of the tinkling glasses within. But go on,"
263,"Ishmael, said I at last; don't you hear?  get away from before the"
264,door; your patched boots are stopping the way. So on I went. I now by
265,"instinct followed the streets that took me waterward, for there,"
266,"doubtless, were the cheapest, if not the cheeriest inns."
267,
268,"Such dreary streets! blocks of blackness, not houses, on either hand,"
269,"and here and there a candle, like a candle moving about in a tomb. At"
270,"this hour of the night, of the last day of the week, that quarter of"
271,the town proved all but deserted. But presently I came to a smoky
272,"light proceeding from a low, wide building, the door of which stood"
273,"invitingly open. It had a careless look, as if it were meant for the"
274,"uses of the public; so, entering, the first thing I did was to"
275,"stumble over an ash-box in the porch. Ha!  thought I, ha, as the"
276,"flying particles almost choked me, are these ashes from that"
277,"destroyed city, Gomorrah? But ""The Crossed Harpoons,"" and the ""The"
278,"Sword-Fish?""- this, then must needs be the sign of ""The Trap."""
279,"However, I picked myself up and hearing a loud voice within, pushed"
280,"on and opened a second, interior door."
281,
282,It seemed the great Black Parliament sitting in Tophet. A hundred
283,"black faces turned round in their rows to peer; and beyond, a black"
284,Angel of Doom was beating a book in a pulpit. It was a negro church;
285,"and the preacher's text was about the blackness of darkness, and the"
286,"weeping and wailing and teeth-gnashing there. Ha, Ishmael, muttered"
287,"I, backing out, Wretched entertainment at the sign of 'The Trap!'"
288,
289,"Moving on, I at last came to a dim sort of light not far from the"
290,"docks, and heard a forlorn creaking in the air; and looking up, saw a"
291,"swinging sign over the door with a white painting upon it, faintly"
292,"representing tall straight jet of misty spray, and these words"
293,"underneath- ""The Spouter Inn:- Peter Coffin."""
294,
295,"Coffin?- Spouter?- Rather ominous in that particular connexion,"
296,"thought I. But it is a common name in Nantucket, they say, and I"
297,suppose this Peter here is an emigrant from there. As the light
298,"looked so dim, and the place, for the time, looked quiet enough, and"
299,the dilapidated little wooden house itself looked as if it might have
300,"been carted here from the ruins of some burnt district, and as the"
301,"swinging sign had a poverty-stricken sort of creak to it, I thought"
302,"that here was the very spot for cheap lodgings, and the best of pea"
303,coffee.
304,
305,"It was a queer sort of place- a gable-ended old house, one side"
306,"palsied as it were, and leaning over sadly. It stood on a sharp bleak"
307,"corner, where that tempestuous wind Euroclydon kept up a worse"
308,"howling than ever it did about poor Paul's tossed craft.  Euroclydon,"
309,"nevertheless, is a mighty pleasant zephyr to any one in-doors, with"
310,"his feet on the hob quietly toasting for bed. ""In of that tempestuous"
311,"wind called Euroclydon,"" says an old writer- of whose works I possess"
312,"the only copy extant- ""it maketh a marvellous difference, whether"
313,thou lookest out at it from a glass window where the frost is all on
